Product,Model,Features,Package,Frequency,Tolerance,Stability,Temp,Stock,Load,Capacitance,Overtone,StockDue,More
LFXTAL023490Bulk,12SMX,0.00,0.00,8.000000,30.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL023490Cutt,12SMX,0.00,0.00,8.000000,30.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL023490Reel,12SMX,0.00,0.00,8.000000,30.00,50.00,-10.00,60.00,30.00,FUND,True,9 Weeks,12SMX
LFXTAL023536Bulk,12SMX,0.00,0.00,16.000000,50.00,50.00,-20.00,70.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023536Cutt,12SMX,0.00,0.00,16.000000,50.00,50.00,-20.00,70.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023536Reel,12SMX,0.00,0.00,16.000000,50.00,50.00,-20.00,70.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023585Bulk,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL023585Reel,12SMX,0.00,0.00,20.000000,50.00,50.00,-10.00,60.00,16.00,FUND,True,9 Weeks,12SMX
LFXTAL023619Bulk,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023619Cutt,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023619Reel,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023634Bulk,12SMX,0.00,0.00,8.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023635Bulk,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023663Bulk,12SMX,0.00,0.00,16.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023668Bulk,12SMX,0.00,0.00,8.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023695Bulk,12SMX,0.00,0.00,12.800000,30.00,30.00,-10.00,60.00,32.00,FUND,True,9 Weeks,12SMX
LFXTAL023695Cutt,12SMX,0.00,0.00,12.800000,30.00,30.00,-10.00,60.00,32.00,FUND,True,9 Weeks,12SMX
LFXTAL023695Reel,12SMX,0.00,0.00,12.800000,30.00,30.00,-10.00,60.00,32.00,FUND,True,9 Weeks,12SMX
LFXTAL023715Cutt,12SMX,0.00,0.00,12.000000,30.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023715Reel,12SMX,0.00,0.00,12.000000,30.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023716Cutt,12SMX,0.00,0.00,10.000000,30.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023716Reel,12SMX,0.00,0.00,10.000000,30.00,50.00,-10.00,60.00,15.00,FUND,True,9 Weeks,12SMX
LFXTAL023831Bulk,12SMX,0.00,0.00,24.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023831Cutt,12SMX,0.00,0.00,24.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023831Reel,12SMX,0.00,0.00,24.000000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL023934Bulk,12SMX,0.00,0.00,40.000000,30.00,50.00,-10.00,60.00,12.00,3RD,True,9 Weeks,12SMX
LFXTAL024039Reel,12SMX,0.00,0.00,19.660800,100.00,30.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL024040Reel,12SMX,0.00,0.00,24.000000,100.00,30.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL024327Bulk,12SMX,0.00,0.00,10.000000,50.00,50.00,0.00,50.00,50.00,FUND,True,9 Weeks,12SMX
LFXTAL024327Reel,12SMX,0.00,0.00,10.000000,50.00,50.00,0.00,50.00,50.00,FUND,True,9 Weeks,12SMX
LFXTAL024335Cutt,12SMX,0.00,0.00,28.224000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL024335Reel,12SMX,0.00,0.00,28.224000,50.00,50.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
LFXTAL024449Bulk,12SMX,0.00,0.00,28.636360,100.00,100.00,0.00,50.00,SR,FUND,True,9 Weeks,12SMX
LFXTAL024575Reel,12SMX,0.00,0.00,18.432000,50.00,50.00,-10.00,60.00,20.00,FUND,True,9 Weeks,12SMX
LFXTAL024707Reel,12SMX,0.00,0.00,14.745600,50.00,100.00,-10.00,60.00,18.00,FUND,True,9 Weeks,12SMX
